text,label
I love manga and anime,anime_day
I want ramen and sushi,food_day
I like museums and history,culture_day
I want romantic places and views,romantic_day
I want a mix of everything,mixed_day
I like parks and mountains,nature_day
I love anime and manga,anime_day
I enjoy manga shopping,anime_day
I want to visit Akihabara,anime_day
I like Japanese pop culture,anime_day
I love arcades and video games,anime_day
I enjoy buying anime figures,anime_day
I want to spend my day in Nakano Broadway,anime_day
I'm a huge anime fan,anime_day
I love ramen,food_day
I want sushi,food_day
I enjoy Japanese food,food_day
I like street food,food_day
I want to try local restaurants,food_day
I love cafés and desserts,food_day
I want to eat yakitori,food_day
I like museums,culture_day
I enjoy history,culture_day
I want to visit temples,culture_day
I want to see shrines,culture_day
I enjoy traditional Japan,culture_day
I like historical places,culture_day
I want romantic places,romantic_day
I enjoy sunsets,romantic_day
I like gardens and views,romantic_day
I want beautiful night views,romantic_day
I love parks,nature_day
I enjoy gardens,nature_day
I like flowers,nature_day
I want peaceful places,nature_day
I love manga but I don't like shrines,anime_day
I want ramen but no museums,food_day
I like parks but I don't enjoy shopping,nature_day
I love history but not nightlife,culture_day
I like naruto and one piece,anime_day
I want to try ramen and sushi,food_day
i love Bleach,anime_day
I want to visit Kyoto and Nara,culture_day
I love Demon Slayer,anime_day
I want to see cherry blossoms,nature_day
I love Kimetsu no Yaiba,anime_day
I want to visit Tokyo Tower and Skytree,romantic_day
I want to party and enjoy nightlife,nightlife_day
I love One Piece and want to visit anime stores,anime_day
I'm a huge Naruto fan and want to buy manga,anime_day
I enjoy Demon Slayer and anime shopping,anime_day
I want to find Jujutsu Kaisen merchandise,anime_day
I love Attack on Titan and Japanese pop culture,anime_day
I want to visit Akihabara to buy manga,anime_day
I'm looking for Chainsaw Man figures,anime_day
I love Spy x Family and anime cafés,anime_day
I enjoy My Hero Academia merchandise,anime_day
I want to spend a day exploring anime shops,anime_day
I love Dragon Ball and retro anime stores,anime_day
I enjoy Bleach and collecting manga,anime_day
I'm searching for Pokémon merchandise,anime_day
I love Frieren and fantasy manga,anime_day
I want to buy Blue Lock manga,anime_day
I enjoy Haikyuu and sports anime,anime_day
I love Tokyo Ghoul and dark manga,anime_day
I'm looking for Gundam model kits,anime_day
I love Evangelion and anime museums,anime_day
I enjoy Studio Ghibli merchandise,anime_day
I want to visit Nakano Broadway for manga,anime_day
I'm interested in anime figures and collectibles,anime_day
I enjoy cosplay and anime conventions,anime_day
I love visual novels and anime games,anime_day
I want to visit maid cafés in Akihabara,anime_day
I enjoy Japanese arcades and anime culture,anime_day
I love buying manga and light novels,anime_day
I'm a fan of anime and want to explore Akihabara,anime_day
I enjoy otaku culture and collectibles,anime_day
I want to spend the whole day shopping for anime goods,anime_day
I love Hunter x Hunter and manga stores,anime_day
I'm looking for JoJo's Bizarre Adventure merchandise,anime_day
I enjoy Sailor Moon collectibles,anime_day
I love Bocchi the Rock and music anime,anime_day
I'm searching for Love Live merchandise,anime_day
I enjoy The Apothecary Diaries and manga shopping,anime_day
I love Oshi no Ko and anime cafés,anime_day
I want to buy Japanese manga in Tokyo,anime_day
I'm interested in anime exhibitions,anime_day
I enjoy Japanese pop culture and gaming,anime_day
I love collecting anime figures,anime_day
I'm searching for limited edition manga,anime_day
I want to explore otaku neighborhoods,anime_day
I love visiting anime-themed shops,anime_day
I enjoy discovering new manga series,anime_day
I'm interested in Japanese animation culture,anime_day
I love browsing second-hand manga stores,anime_day
I want to find rare anime collectibles,anime_day
I enjoy anime manga and video games,anime_day
I want an itinerary focused on anime and manga,anime_day
I love Fullmetal Alchemist and want to buy manga,anime_day
I'm a fan of Death Note and anime merchandise,anime_day
I want to visit stores with Berserk manga,anime_day
I enjoy Vinland Saga and historical manga,anime_day
I'm looking for Monster manga collections,anime_day
I love Mob Psycho 100 and anime figures,anime_day
I want to buy Re:Zero merchandise,anime_day
I'm a fan of Steins;Gate and visual novels,anime_day
I enjoy Code Geass and anime collectibles,anime_day
I love Fairy Tail and manga shopping,anime_day
I want to find Black Clover merchandise,anime_day
I enjoy Fire Force and anime stores,anime_day
I love Soul Eater and Japanese pop culture,anime_day
I'm looking for Dandadan manga,anime_day
I want to buy Kaiju No. 8 merchandise,anime_day
I'm a fan of Sakamoto Days and manga,anime_day
I enjoy Kagurabachi and want to visit bookstores,anime_day
I love Solo Leveling merchandise,anime_day
I want to explore stores with Wind Breaker manga,anime_day
I'm looking for Blue Box manga,anime_day
I love Dr. Stone and anime shops,anime_day
I enjoy The Promised Neverland merchandise,anime_day
I'm a fan of Black Butler and manga cafés,anime_day
I want to buy Fruits Basket manga,anime_day
I love Your Lie in April and anime goods,anime_day
I'm searching for Kaguya-sama: Love Is War merchandise,anime_day
I enjoy Horimiya and romance manga,anime_day
I love Komi Can't Communicate and bookstores,anime_day
I'm a fan of Bocchi the Rock merchandise,anime_day
I want to find Lycoris Recoil goods,anime_day
I enjoy Mashle and comedy manga,anime_day
I'm looking for Undead Unluck manga,anime_day
I love Gintama and anime collectibles,anime_day
I want to buy Saint Seiya figures,anime_day
I'm a fan of Inuyasha and classic manga,anime_day
I enjoy Ranma 1/2 merchandise,anime_day
I love Detective Conan and manga shopping,anime_day
I'm searching for Doraemon collectibles,anime_day
I enjoy Crayon Shin-chan merchandise,anime_day
I love Initial D and racing manga,anime_day
I want to buy Ace of Diamond manga,anime_day
I'm a fan of Slam Dunk and basketball anime,anime_day
I enjoy Hikaru no Go manga,anime_day
I love Kingdom and historical manga,anime_day
I'm looking for NANA merchandise,anime_day
I want to buy Claymore manga,anime_day
I enjoy Made in Abyss and fantasy manga,anime_day
I love To Your Eternity and anime stores,anime_day
I'm searching for Hell's Paradise merchandise,anime_day
I want an itinerary focused on anime shopping and manga hunting,anime_day
I love ramen and want to try the best shops,food_day
I'm looking for authentic sushi restaurants,food_day
I want to eat fresh sashimi in Tokyo,food_day
I love tempura and traditional Japanese cuisine,food_day
I'm searching for the best tonkatsu in Tokyo,food_day
I want to try delicious yakitori,food_day
I love okonomiyaki and local restaurants,food_day
I'm looking for great takoyaki stands,food_day
I want to eat Japanese curry,food_day
I'm a huge fan of udon noodles,food_day
I love soba and traditional noodle shops,food_day
I want to try delicious tsukemen,food_day
I'm looking for the best yakiniku restaurants,food_day
I love shabu shabu and hot pot,food_day
I want to experience sukiyaki in Japan,food_day
I'm searching for izakayas with local food,food_day
I love onigiri and convenience store food,food_day
I want to try Japanese street food,food_day
I'm looking for famous melon pan bakeries,food_day
I love taiyaki and sweet snacks,food_day
I want to eat fluffy Japanese pancakes,food_day
I'm searching for the best matcha desserts,food_day
I love mochi and traditional sweets,food_day
I want to try dorayaki in Tokyo,food_day
I'm looking for daifuku and wagashi shops,food_day
I love Japanese cheesecake,food_day
I want to visit cafés with unique desserts,food_day
I'm searching for parfait cafés,food_day
I love kakigori and summer desserts,food_day
I want to try Japanese crepes in Harajuku,food_day
I'm looking for the best gyoza restaurants,food_day
I love karaage and fried chicken,food_day
I want to eat unagi by the river,food_day
I'm searching for delicious omurice,food_day
I love hambagu steak restaurants,food_day
I want to try monjayaki in Tokyo,food_day
I'm looking for the best oden during winter,food_day
I love nikuman and steamed buns,food_day
I want to experience kaiseki cuisine,food_day
I'm searching for Michelin-starred Japanese restaurants,food_day
I love seafood markets and fresh fish,food_day
I want to visit Tsukiji for amazing food,food_day
I'm looking for hidden local restaurants,food_day
I love food markets and street vendors,food_day
I want to discover authentic Japanese flavors,food_day
I'm interested in regional Japanese specialties,food_day
I want a trip focused entirely on food,food_day
I enjoy trying every type of Japanese cuisine,food_day
I'm planning a food tour across Tokyo,food_day
Show me the best places to eat in Tokyo,food_day
I want to try authentic Korean BBQ,food_day
I'm looking for the best Korean fried chicken,food_day
I love Korean food and spicy dishes,food_day
I want to eat delicious bibimbap,food_day
I'm searching for great kimchi restaurants,food_day
I love Korean hot pot,food_day
I want to try authentic tteokbokki,food_day
I'm looking for Korean cafés and desserts,food_day
I want to explore Shin-Okubo for Korean food,food_day
I love Korean street food,food_day
I want to try authentic Thai food,food_day
I'm looking for the best pad thai in Tokyo,food_day
I love green curry and Thai cuisine,food_day
I want to eat spicy Thai food,food_day
I'm searching for delicious tom yum soup,food_day
I love mango sticky rice,food_day
I want to visit authentic Thai restaurants,food_day
I'm looking for the best Thai curry,food_day
I enjoy Southeast Asian cuisine,food_day
I love Thai street food,food_day
I want authentic Indian curry,food_day
I'm looking for the best butter chicken,food_day
I love naan and curry,food_day
I want spicy Indian food,food_day
I'm searching for authentic biryani,food_day
I enjoy North Indian cuisine,food_day
I love South Indian food and dosa,food_day
I'm looking for delicious chicken tikka,food_day
I want to try Japanese-style Indian curry,food_day
I love Indian restaurants in Tokyo,food_day
I want authentic Chinese food,food_day
I'm looking for the best dim sum,food_day
I love dumplings and bao buns,food_day
I want to eat Peking duck,food_day
I'm searching for amazing Sichuan cuisine,food_day
I love hot pot restaurants,food_day
I want authentic Cantonese food,food_day
I'm looking for the best xiaolongbao,food_day
I enjoy Chinese street food,food_day
I love spicy Chinese noodles,food_day
I want to try authentic Vietnamese pho,food_day
I'm looking for the best banh mi,food_day
I love Vietnamese cuisine,food_day
I want delicious spring rolls,food_day
I'm searching for authentic Malaysian food,food_day
I love Singaporean cuisine and laksa,food_day
I want Indonesian food like nasi goreng,food_day
I'm looking for Filipino restaurants in Tokyo,food_day
I enjoy Asian food from every country,food_day
I want an itinerary focused on Asian cuisine in Tokyo,food_day
